hei_score,risk_class,risk_code,pop_raw,ndvi_raw,lulc_class,urban_class,lst_norm,pop_norm,ndvi_inv_norm,lulc_weight,color_hex
0.3742,Moderate Risk,3,1.1392802000045776,0.105116,Bare Land,Peri-Urban / Sparse,0.3541,0.002597,0.8087,0.70,#FFAA00
0.3732,Moderate Risk,3,1.1380407810211182,0.105909,Bare Land,Peri-Urban / Sparse,0.3541,0.002594,0.8041,0.70,#FFAA00
0.3735,Moderate Risk,3,1.135603904724121,0.105706,Bare Land,Peri-Urban / Sparse,0.3541,0.002588,0.8053,0.70,#FFAA00
0.3738,Moderate Risk,3,1.1360466480255127,0.105452,Bare Land,Peri-Urban / Sparse,0.3541,0.002589,0.8068,0.70,#FFAA00
0.3734,Moderate Risk,3,1.1392773389816284,0.105735,Bare Land,Peri-Urban / Sparse,0.3541,0.002597,0.8051,0.70,#FFAA00
0.3722,Moderate Risk,3,1.1399458646774292,0.106837,Bare Land,Peri-Urban / Sparse,0.3541,0.002598,0.7987,0.70,#FFAA00
0.3706,Moderate Risk,3,1.1388075351715088,0.108191,Bare Land,Peri-Urban / Sparse,0.3541,0.002596,0.7908,0.70,#FFAA00
0.3703,Moderate Risk,3,1.138631820678711,0.108443,Bare Land,Peri-Urban / Sparse,0.3541,0.002595,0.7893,0.70,#FFAA00
0.3704,Moderate Risk,3,1.1394060850143433,0.108317,Bare Land,Peri-Urban / Sparse,0.3541,0.002597,0.7901,0.70,#FFAA00
0.3701,Moderate Risk,3,1.1394600868225098,0.108607,Bare Land,Peri-Urban / Sparse,0.3541,0.002597,0.7884,0.70,#FFAA00
0.3698,Moderate Risk,3,1.1394355297088623,0.108900,Bare Land,Peri-Urban / Sparse,0.3541,0.002597,0.7867,0.70,#FFAA00
0.3689,Moderate Risk,3,1.1419990062713623,0.109602,Bare Land,Peri-Urban / Sparse,0.3541,0.002603,0.7826,0.70,#FFAA00
0.3681,Moderate Risk,3,1.1421711444854736,0.110295,Bare Land,Peri-Urban / Sparse,0.3541,0.002603,0.7785,0.70,#FFAA00
0.3682,Moderate Risk,3,1.1435034275054932,0.110274,Bare Land,Peri-Urban / Sparse,0.3541,0.002606,0.7787,0.70,#FFAA00
0.3667,Moderate Risk,3,1.1452996730804443,0.111515,Bare Land,Peri-Urban / Sparse,0.3541,0.002610,0.7714,0.70,#FFAA00
0.3667,Moderate Risk,3,1.1473480463027954,0.111532,Bare Land,Peri-Urban / Sparse,0.3541,0.002615,0.7713,0.70,#FFAA00
0.3767,Moderate Risk,3,1.1059951782226562,0.102966,Bare Land,Peri-Urban / Sparse,0.3541,0.002521,0.8213,0.70,#FFAA00
0.3759,Moderate Risk,3,1.1020786762237549,0.103598,Bare Land,Peri-Urban / Sparse,0.3541,0.002512,0.8176,0.70,#FFAA00
0.3759,Moderate Risk,3,1.098973035812378,0.103629,Bare Land,Peri-Urban / Sparse,0.3541,0.002505,0.8174,0.70,#FFAA00
0.3744,Moderate Risk,3,1.0925002098083496,0.104855,Bare Land,Peri-Urban / Sparse,0.3541,0.002490,0.8102,0.70,#FFAA00
0.3741,Moderate Risk,3,1.0872143507003784,0.105134,Bare Land,Peri-Urban / Sparse,0.3541,0.002478,0.8086,0.70,#FFAA00
0.3742,Moderate Risk,3,1.0790926218032837,0.105085,Bare Land,Peri-Urban / Sparse,0.3541,0.002460,0.8089,0.70,#FFAA00
0.3754,Moderate Risk,3,1.0693145990371704,0.104046,Bare Land,Peri-Urban / Sparse,0.3541,0.002437,0.8150,0.70,#FFAA00
0.3753,Moderate Risk,3,1.0571683645248413,0.104061,Bare Land,Peri-Urban / Sparse,0.3541,0.002410,0.8149,0.70,#FFAA00
0.3755,Moderate Risk,3,1.0490472316741943,0.103960,Bare Land,Peri-Urban / Sparse,0.3541,0.002391,0.8155,0.70,#FFAA00
0.3746,Moderate Risk,3,1.0501868724822998,0.104694,Bare Land,Peri-Urban / Sparse,0.3541,0.002394,0.8112,0.70,#FFAA00
0.3752,Moderate Risk,3,1.0522639751434326,0.104138,Bare Land,Peri-Urban / Sparse,0.3541,0.002398,0.8144,0.70,#FFAA00
0.3752,Moderate Risk,3,1.0547199249267578,0.104212,Bare Land,Peri-Urban / Sparse,0.3541,0.002404,0.8140,0.70,#FFAA00
0.3752,Moderate Risk,3,1.059471845626831,0.104204,Bare Land,Peri-Urban / Sparse,0.3541,0.002415,0.8140,0.70,#FFAA00
